Division E:  LeagueBashers won by 7 Wkt(s) (03/20/2022)
                     Phoenix Vs Bashers



,,,Phoenix Batting

	BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
	Abhishek Gandhi,ro,,Mathirajan A,22,26,2,0
Ram Narasimman,ctw,Sivakumar M,Balaji G,18,40,2,0
Arvind Kannan,ctw,Sivakumar M,Balaji G,9,7,1,0
Dilawar Shah Kadermasthan Syed Kadrmasthan Syed,ctw,Sivakumar M,Mathirajan A,0,1,0,0
Rama Krishna Moluguri,ct,Muthu C,Mathirajan A,1,4,0,0
Jai V,ct,Ambarish R,Mathirajan A,11,17,1,0
Praveen Muppidi,ro,,Sivakumar M,11,18,0,0
Thenappan Nachiappan,ct,Prabhu R,Sivakumar M,0,1,0,0
Vikas Sawkar,,,,4,6,0,0
Sarpa Vardhan Reddy Nuka,,,,0,0,0,0
Srikarthick Vijayakumar,,,,0,0,0,0

	
		Byes: 1 , Leg Byes: 0, Wickets : 8  Wides : 8, No Balls: 0 Penalty : 0,85,20.0

,,,Bashers Bowling 
													
	Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
	Sagar Pomane,3.0,0,12,0,0,0,0,8
Ambarish Ravi,3.0,0,15,0,3,0,0,10
Sivakumar Muthuraj,4.0,0,17,1,1,0,0,16
Prabhu Ravindran,2.0,0,10,0,1,0,0,9
Balaji Gopal,4.0,0,18,2,3,0,0,14
Mathirajan Arivazhagan,4.0,1,12,3,0,0,0,15

Total, 20.0 ,1,84,8,8,0,0,72

,,,Bashers Batting
                            
BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
	Muthu Chakkaravarthy,ct,Abhishek G,Sarpa Vardhan Reddy N,34,29,3,1
Aravinth Nallusamy,ct,Sarpa Vardhan Reddy N,Abhishek G,15,26,1,0
Ranjitkumar Raju,,,,6,8,0,0
Sivakumar Muthuraj,b,,Vikas S,18,13,2,1
Jayesh Deshmukh,,,,4,2,1,0
Mathirajan Arivazhagan,,,,0,0,0,0
Sagar Pomane,,,,0,0,0,0
Suresh Kumar,,,,0,0,0,0
Prabhu Ravindran,,,,0,0,0,0
Ambarish Ravi,,,,0,0,0,0
Balaji Gopal,,,,0,0,0,0

Byes: 0 , Leg Byes: 0, Wickets : 3  Wides : 12, No Balls: 0 Penalty : 0,89,13.0

,,,Phoenix Bowling

	Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
	Sarpa Vardhan Reddy Nuka,3.0,0,10,1,2,0,0,11
Abhishek Gandhi,3.0,0,16,1,2,0,0,9
Vikas Sawkar,2.0,0,25,1,1,0,0,5
Praveen Muppidi,3.0,0,22,0,6,0,0,10
Thenappan Nachiappan,2.0,0,16,0,1,0,0,6

Total, 13.0 ,0,89,3,12,0,0,41
